﻿Week,Phase,Block Theme,Weekly Theme,Audience,Session Title,Core Concept,Opening Hook,Signal Metaphor,Ancient Wisdom Reframe,Teaching Points,Experiential Exercise,Guided Reflection,Journaling Prompt,Weekly Practice (Mon),Weekly Practice (Wed),Weekly Practice (Sun),Core Affirmation,Video Link (YouTube),Video Description,Film Script (2min Narration),Facilitator Notes
28,3,Rebuild,What Do You Actually Value?,Child,Your Inner Compass,"Values are like the most important rules you make for yourself — not rules from other people, but the things YOU decide are most important about how you live and treat others. Today we find out what YOUR most important values are.",What is the most important rule YOU have made for yourself — something you believe about how to treat people or how to live? Not a rule from school or home — something that feels most like yours.,"Imagine you have a special compass inside you — and instead of pointing to north, it points to what matters most to you. Today we find out which direction your compass actually points.","In old stories, the bravest heroes always had a strong inner compass — they knew what mattered, and they stuck to it even when things got hard. That compass was their values. Today we discover ours.","1. Values are the things that matter most to us — what we believe is important about how we live and treat others. | 2. Everyone's values are a little different — and that's what makes the world rich and interesting. | 3. Some common values are: kindness, honesty, courage, fairness, creativity, friendship, family, fun, learning, helping others. | 4. Knowing your values helps you make good decisions — when something feels wrong, it usually means it goes against one of your values.","THE VALUES COMPASS: Each child gets a large compass drawn on paper (pointing N, S, E, W). In the four directions, they write or draw their four most important values. Facilitator shares examples and helps with vocabulary. Then: present dilemmas and ask children to use their compass: 'Your friend asks you to keep a secret that worries you — which value guides you?' / 'Someone is being left out — which value helps you decide what to do?' Share: your compass and your most important direction.",Close your eyes. Think about the value that feels MOST important to you. When have you lived it really well? How did it feel? Now think: when did you NOT live it and felt bad afterwards? What happened? Your compass was trying to guide you. Today we make it stronger.,Draw your inner compass. Write your four most important values in the four directions. Decorate it so it looks like YOU.,"When you face a choice today, use your compass: 'Which of my values guides me here?' Tell someone about it.",Show your compass to a grown-up. Tell them about the values you chose. Ask them what their compass points to.,Bring your compass back! Did you use it this week? What happened?,My values are my compass. They help me know who I am and how to treat others.,https://www.youtube.com/watch?v=IRVxOCKxDyI,YouTube: Search 'values for kids animated' or 'what are values children' for short accessible content. Runtime ~5 min. Book: 'Those Shoes' by Maribeth Boelts — a beautiful story about knowing what you truly value versus what you want because others have it.,"FADE IN: A cartoon compass, spinning. Gradually it slows and settles — pointing to a glowing word: KINDNESS. VOICE: 'That's what matters most to them. That's their compass.' CUT TO: Child at a moment of decision. Looks at their internal compass. It points clearly. VOICE: 'When you know what matters to you, decisions get clearer.' CUT TO: Child making the values-aligned choice. Looking peaceful. VOICE: 'Your compass is already inside you. Today you just learned to read it.' FADE TO TITLE: Mindcast LIVE.",The compass is a brilliant physical metaphor — make it beautiful and keep it as a year-round tool. Present the dilemmas with warmth and humour. The discovery that values-based decisions feel better than approval-seeking decisions is a genuine revelation for this age.
29,3,Rebuild,The Habits That Build You,Child,Watering Your Garden,Habits are things we practise so often they become automatic — we do them without even thinking. Today we think about the habits that GROW us — the small things we do every day that make us more of who we want to be.,"What is something you already do every day that has made you better at something or made you feel good about yourself? (Reading, practising a sport, being kind, helping someone.) How did that habit start?","Think about how a plant grows. It doesn't shoot up all at once — it grows a tiny bit every single day. Good habits are like watering a plant. A little bit, every day, makes something beautiful grow.","In old stories about people who became truly great — kind, wise, brave, skilled — it was never from one magic moment. It was always from small, consistent practice. Every single day. A little bit. That's how greatness actually grows.",1. A habit is something you do so regularly that it becomes almost automatic. | 2. The habits we practise build who we are — a little bit at a time. | 3. Even tiny habits matter! Five minutes of reading every day adds up to over 30 hours in a year. | 4. The best habits are ones that help us grow into the person we want to be.,"THE HABIT GARDEN: Each child gets a garden template with 3 plant pots. In each pot, they draw or write a small daily habit they want to grow — something that will help them build one of their quality-bricks from Week 27. Then they write: what's the SMALLEST daily version? (E.g. 'I will read for 5 minutes before bed' / 'I will say one kind thing to someone every day' / 'I will draw something for 3 minutes.'). Share: their three habit seeds and the smallest daily version of each.","Close your eyes. Imagine watering your three habit plants every single day for three months. Picture them growing — slowly, steadily. What does your garden look like after three months? How do YOU feel? That garden is available to you. Starting today.","Draw your habit garden in full — name the plants, draw how they might look when they've grown!",Start ONE of your habit plants today — the tiniest version. Just begin. Tell someone about it tonight.,Show a grown-up your habit garden. Ask them what habit they wish they had started when they were your age.,Bring back: how many days did you water your habit plant? What happened?,Small daily habits grow into big wonderful things. I water my garden every day.,https://www.youtube.com/watch?v=hpnI3MCTJSA,"YouTube: 'The Power of Yet' animated — Carol Dweck for kids, about the habit of persisting. Runtime ~5 min. Book: 'Little Acorn Becomes a Tree' or 'What a Seed Knows' for the growth metaphor. Also: 'Dreamers' by Yuyi Morales — about slow, persistent building.","FADE IN: Three empty pots on a windowsill. VOICE: 'Nothing in them yet.' CUT TO: Day 1 — a child adds a tiny seed. Day 7 — tiny shoots. Day 30 — real plants. Day 90 — flourishing. VOICE: 'They didn't do anything dramatic. Just a little bit, every day.' CUT TO: The child smiling at their garden. VOICE: 'That's a habit. And habits grow exactly like plants — slowly, steadily, beautifully.' FADE TO TITLE: Mindcast LIVE.",The garden metaphor is perfect for this age — consider having small actual seed packets as a physical take-home that mirrors the metaphor. The minimum habit concept ('just the tiniest version') dramatically reduces the activation energy. Send a habit tracking sheet home for family engagement.
30,3,Rebuild,Your Body as Foundation,Child,Charging Your Superhero Suit,"Our bodies are the most amazing machines — they need certain things to work really well: good sleep, movement, healthy food, and ways to calm down when we feel stressed. Today we learn how to take care of our bodies so they can help us feel and be our best.",Can you tell when your body needs more sleep? How do you feel? What about when you haven't moved around enough — how does that feel? What about when you've eaten mostly sugary things all day? Your body sends signals — let's learn to read them.,"Think of your body like a superhero suit. When it's charged up — with sleep, movement, good food, and calm — it can do extraordinary things. When it's running on empty, even superpowers don't work properly! Today we learn how to charge up.","Ancient peoples knew something important: a well-rested, well-moved, well-nourished body thinks more clearly, feels more balanced, and has more courage. They were right — and now science confirms it. Today we learn the four things that charge our superhero suit.","1. Your body needs four things to work really well: SLEEP (to grow, learn, and feel okay), MOVEMENT (to feel energised and happy), GOOD FOOD (to have energy and think clearly), and CALM (ways to settle down when things feel overwhelming). | 2. When we don't get enough of these, everything gets harder — it's harder to concentrate, control our feelings, and be kind to others. | 3. The good news: even small improvements in any of these four things can make a big difference. | 4. Taking care of your body is one of the kindest things you can do for yourself AND for everyone around you.","SUPERHERO SUIT CHECK: Each child rates their four areas with a simple traffic light (red/orange/green): Sleep, Movement, Food, Calm-Down Skills. Then for their most orange or red area: 'What is ONE small thing I could do to give this area a bit more green?' Facilitator works through examples: sleep (same bedtime every night, dark room), movement (playing outside, dancing, walking), food (one more piece of fruit, water before lunch), calm (three deep breaths, a favourite calming activity). Share: one upgrade they're committing to.","Let's practise charging our suits right now. Everyone: sit up tall, put both feet on the floor, take three slow deep breaths. Breathe in while I count to 4 — and out while I count to 6. Did you feel something shift? That's your calm-down power — and it works any time, any place.",Draw your superhero suit charged up and ready. Label the four charging stations around it.,Try ONE of your charging habits today — and notice how it affects how you feel.,Tell a grown-up about the four charging areas. Ask them which one they find hardest to keep charged. Compare answers!,Bring back your superhero suit drawing — has anything changed in your charging levels?,"When I take care of my body, I can be the best version of me. Sleep, movement, food, and calm — my four superchargers.",https://www.youtube.com/watch?v=BVAaomgzFCM,YouTube: 'Sesame Street Belly Breathe' or search 'kids movement and sleep importance animated' for fun accessible content on body care for children. Runtime ~3–5 min. Book: 'I Am Yoga' by Susan Verde — a beautiful mindful body awareness book.,"FADE IN: A cartoon superhero suit — four charging stations around it labelled SLEEP, MOVEMENT, FOOD, CALM. All four gauges low. Suit hanging limply. VOICE: 'When the suit isn't charged... it's really hard to do anything super.' CUT TO: Same suit, gradually charging as each station lights up. VOICE: 'Sleep — charging. Movement — charging. Good food — charging. Calm — charging.' CUT TO: Fully charged suit, glowing. Child puts it on. Stands tall. VOICE: 'That's how you charge your superpower.' FADE TO TITLE: Mindcast LIVE.",The superhero charging metaphor is endlessly engaging for this age. Make the breathing practice a regular feature of every session from this point forward — 3 breaths to open each session. Involve families in the four charging areas — send a visual home they can put on the fridge.
31,3,Rebuild,The People You Choose,Child,Growing Friends,"The people we spend time with help shape who we become — because we learn from them, we pick up their habits and feelings, and we become more ourselves (or less ourselves) depending on who we're around. Today we think about the people in our lives who help us grow — and how to be that kind of person for others.","Think of a friend or person who makes you feel really good — more yourself, happier, braver. What is it about them that makes you feel that way? What do they do that helps you grow?","Think about how flowers grow better when they're planted near other healthy plants — they share good soil, they shelter each other from wind, and they make each other more beautiful. People work the same way! The right friends help us grow. Today we think about what makes a growing friendship.","In old stories the best companions were always the ones who brought out the best in the hero — who believed in them, told them the truth, and stood by them through hard times. That kind of friendship is worth finding AND worth being. Today we think about both.","1. The people we spend the most time with have a big influence on how we feel and who we become. | 2. Growing friends are people who make us feel good about ourselves, encourage us to try new things, and are kind even when things are hard. | 3. We can also BE growing friends for others — by being kind, honest, encouraging, and supportive. | 4. It's okay if not everyone is a growing friend — but it's really worth finding and keeping the ones who are.","THE GROWING FRIEND GARDEN: Each child gets a garden template with space for 3–4 friends. For each friend: draw or write their name, one thing they do that helps you grow, and one thing you do that helps THEM grow. Then: draw yourself in the garden too. What do you bring to your friendships? Share: one growing friend and one thing they bring to you.",Close your eyes. Think about your most growing friend — the one who makes you feel most like yourself. How do they make you feel? What do they do that helps? Now: what do YOU do for them? Are you being a growing friend back? What's one more thing you could do for them?,Draw a picture showing you and a growing friend doing something together. What makes this friendship a growing one?,Do something kind or encouraging for a growing friend today — and notice how it feels to give as well as receive.,Tell a grown-up about one of your growing friends and why they matter to you. Ask them about their growing friends.,Bring back a story about something a growing friend did for you this week — or something you did for them!,I choose friends who help me grow — and I am a growing friend for others.,https://www.youtube.com/watch?v=9_1Rt1R4xbM,YouTube: 'Charlotte's Web' book read-aloud clips or search 'friendship for kids animated' for short content on what makes a good friend. Runtime ~5–8 min. Book: 'The Invisible String' by Patrice Karst — about the connections that matter most.,"FADE IN: A garden — some plants growing vigorously side by side, supporting each other. Others struggling in poor soil, alone. VOICE: 'Plants grow better with the right companions. So do people.' CUT TO: Two children doing something together — laughing, exploring, genuinely enjoying each other. VOICE: 'A growing friend is someone who makes you more of who you are. Not less.' CUT TO: One child doing something kind for the other. VOICE: 'And the best thing about growing friends? You can be one too.' FADE TO TITLE: Mindcast LIVE.",The growing friend concept should be kept warm and affirmative — this is not about judging friendships but about celebrating the ones that genuinely nourish. Acknowledge that all friendships have ups and downs. The seed activity (doing one kind thing for a growing friend) should have a real follow-through plan.
32,3,Rebuild,How You Speak to Yourself,Child,Finding Your Power Phrases,"We've been building our inner coach — the kind, honest voice inside us. This week we practise using that voice every day. Today we design our personal 'power phrases' — the things we say to ourselves that help us feel brave, kind, and capable.",What is the most helpful thing a kind voice could say to you when you're having a hard day? When you've made a mistake? When you're about to try something scary? What do you most need to hear?,Remember your inner coach from a few weeks ago? Today we give them some really good lines. The best coaches always have just the right thing to say. Today we write ours.,"In old stories, the bravest characters would say something to themselves before a challenge — a promise to themselves, a reminder of who they were. Those words became their power. Today we find ours.","1. The words we say to ourselves matter — they're heard more than any other voice we'll ever hear. | 2. When we practise saying kind, honest, encouraging things to ourselves, it actually changes how we feel and how brave we can be. | 3. Power phrases aren't magic — they're reminders of what's true about us when we forget. | 4. Today we create our own personal power phrases — the ones that are most true for us.","POWER PHRASE CREATOR: Guide children through three types of power phrase: 1. BRAVE phrase (for when something feels scary): e.g. 'I can be scared AND brave at the same time.' 2. KIND phrase (for when you've made a mistake): e.g. 'I made a mistake. That doesn't make me bad. I can try again.' 3. STRONG phrase (for hard days): e.g. 'I am doing my best, and that is enough.' Each child writes their own version of each type — in their own words. Share: their brave phrase with the group.","Let's practise our brave phrases right now. Everyone close their eyes. Think of something that feels a bit scary. Now say your brave phrase to yourself — quietly, in your head. How does it feel? Take a breath. Say it again. Notice what changes.",Write or decorate your three power phrases on a card to keep. Make it beautiful — it's important!,"Use your brave phrase today — even if nothing scary happens, just practise saying it.",Teach a grown-up your three power phrases. Ask them what THEIR power phrases are.,Bring back your power phrase card! Which one did you use most this week?,I have words that help me. I say them to myself with kindness and truth.,https://www.youtube.com/watch?v=VXez46_LZSE,"YouTube: Search 'positive self-talk for kids animated' or 'affirmations for children YouTube' for short, accessible animations. Runtime ~5 min. Book: 'I Am Enough' by Grace Byers — a beautiful collection of affirmations in picture book form.","FADE IN: A child before something scary — about to give a speech, try something new. We hear the worried inner voice. VOICE: 'That's the old voice. Let's try a different one.' CUT TO: Child closes eyes. Says their brave phrase quietly. Breathes. Opens eyes. VOICE: 'Not the magic disappearing of fear. The brave choosing to go anyway.' CUT TO: Child doing the thing — imperfectly, real, proud. VOICE: 'Power phrases don't remove the challenge. They remind you who you are while you face it.' FADE TO TITLE: Mindcast LIVE.","Create beautiful, laminated power phrase cards for children to take home — make them special objects, not just worksheets. Involve parents: send a note explaining power phrases and asking them to use the same language at home. The three-category structure (brave, kind, strong) covers the most important emotional situations."
33,3,Rebuild,Creating Structure That Serves You,Child,Your Personal Rhythm,"Having a routine — a regular order for how we do things — actually helps us feel safer, calmer, and more able to enjoy the fun parts of our day. Today we think about the routines that help us the most — and maybe design some new ones.","What's a routine you have that really helps you? Maybe a bedtime routine, or how you get ready in the morning, or something you do after school? Why does it help?","Think about how a garden grows best when it has a good watering routine, the right amount of sunshine each day, and regular weeding. Your life grows best when it has a good routine too! Today we design our personal growth garden routine.","In old stories, the wisest people always had a rhythm to their days — they knew when to work, when to rest, when to play, and when to think. That rhythm didn't make their days boring. It made everything else possible.","1. Having a routine — a regular order for important parts of the day — helps our brains feel safe and our bodies feel settled. | 2. When we know what's coming, we have more energy for the fun, creative, and unexpected parts of life. | 3. A good daily routine includes time for sleep, movement, food, learning, connection, and rest. | 4. Today we think about what our ideal daily rhythm looks like — and pick one small routine to strengthen.","MY DAILY RHYTHM: Give each child a simple clock/timeline template for a day. Together, fill in the key anchors: wake time, breakfast, school or activity, movement time, connection time (family/friends), quiet or creative time, bedtime. Then: 'Is there one part of your day that feels chaotic or hard? Could a small routine help?' Design one new mini-routine for that part. Share: their new mini-routine.",Close your eyes. Imagine your perfect calm day — everything in a good rhythm. What time do you wake up? What makes mornings feel good? What do you do after school? What helps you sleep? Notice how calm it feels when your day has a good rhythm. You can build that.,Draw your ideal daily rhythm as a clock or timeline. What are the most important parts?,Try your new mini-routine today. Notice how it feels to have that part of your day feel more settled.,Tell a grown-up about your new mini-routine. Ask them to help you stick to it this week.,Bring back: how did your mini-routine go? Did it help?,"A good daily rhythm helps me feel calm, settled, and ready for anything.",https://www.youtube.com/watch?v=nj2ofrX7jAk,"YouTube: Search 'daily routine for kids animated' for short, engaging content about healthy daily rhythms. Runtime ~5 min. Book: 'Bedtime for Frances' by Russell Hoban — gently illustrates the importance of routine and what happens when it's disrupted.","FADE IN: A cartoon day without any rhythm — chaotic, scattered, ending in a tired, grumpy child. VOICE: 'No rhythm. Everything's harder.' CUT TO: Same child, next day — with a simple morning routine and a bedtime rhythm. Calmer. More settled. VOICE: 'Same child. A little more rhythm.' CUT TO: Child at bedtime, peaceful and ready. VOICE: 'Routines don't take away the adventure. They make it easier to have one.' FADE TO TITLE: Mindcast LIVE.","Coordinate with parents for this session — family buy-in on routine changes is essential for children. Focus on one small, achievable routine improvement rather than a whole-day redesign. Sleep routine is the highest-leverage area for most primary-age children. Send home a simple routine template families can use together."
34,3,Rebuild,"Rest as a Practice, Not a Reward",Child,Rest Is a Superpower,"Rest is not just sleep — it's also the quiet, gentle times when our brain and body get to recover and refuel. Today we learn about the importance of rest, what real rest looks and feels like, and how to give our brain the recovery time it needs.",What do you do when you want to relax and feel better? What makes you feel most refreshed and restored? Is it different to what you do when you're bored?,"Think about a phone that's been on all day with lots of apps open. By the evening, it's hot and the battery is nearly empty. People are the same! Our brains need quiet time — not just sleep, but gentle, calm recovery time during the day.","In old stories, even the greatest heroes had to rest before the big challenge. Not because they were weak — but because they were wise enough to know that the body and mind need recovery time to do their best. Rest is a superpower, not a sign of being lazy.","1. Rest is not the same as sleep — it's also the quiet time your brain needs during the day to process everything it's learned and feel settled. | 2. Some things we think are rest — like watching lots of videos or scrolling — actually keep our brains busy. Real rest is quieter. | 3. Real rest might look like: playing outside, drawing, listening to music, daydreaming, quiet reading, or just being still for a few minutes. | 4. When we rest properly, we can think more clearly, feel calmer, and actually enjoy things more.","REST vs. BUSY BREAK: Show children two lists and sort together: REST (quiet reading, outdoor play, drawing, daydreaming, calm music, gentle movement) vs. BUSY BREAK (lots of screens, fast-paced games, scrolling, loud noise). Discuss: how does each feel in your body? How do you feel after each? Then: design your personal 'rest menu' — three go-to genuine rest activities that work for YOU. Share: their top rest activity.","Let's practise right now. Everyone: sit or lie comfortably. Close your eyes if you want. For 2 minutes, just breathe and let your mind wander wherever it wants — no thinking about anything on purpose. Just... rest. When we open our eyes: how did that feel?",Draw your 'rest menu' — three activities that give your brain real rest. Make it beautiful!,Take a genuine rest break today — from your rest menu. Notice how you feel before and after.,Show a grown-up your rest menu. Ask them what rest looks like for them. Plan a rest time together this week.,Bring back: which rest activity did you try? How did it feel?,Real rest is when my brain gets to breathe. It makes everything else better.,https://www.youtube.com/watch?v=nj2ofrX7jAk,YouTube: Search 'rest for kids why it matters animated' or 'why do we need rest children YouTube' for short accessible content. Runtime ~5 min. Book: 'The Rabbit Listened' by Cori Doerrfeld — about the kind of quiet presence that genuinely restores.,"FADE IN: A brain in cartoon form — hot, busy, lots of things spinning. VOICE: 'This brain has been working really hard. It needs something.' CUT TO: The child sitting outside, looking at clouds. Brain slowly cooling, spinning things slowing. VOICE: 'That. Right there. That's rest.' CUT TO: Brain, refreshed. Everything a bit clearer, a bit calmer, a bit more ready. VOICE: 'Rest isn't doing nothing. It's giving your brain what it needs.' FADE TO TITLE: Mindcast LIVE.","The rest menu is a lovely, practical take-home from this session. The 2-minute rest practice in the session is worth doing slowly and genuinely — model it yourself. Coordinate with parents to support genuine rest practices at home, distinct from screen time. The rest/busy-break distinction is a powerful concept for both children and parents."
35,3,Rebuild,Creativity and Expression,Child,The Joy of Making,"Making things — drawing, building, writing, singing, dancing, inventing — is one of the most wonderful things human beings can do. And everyone can do it! Today we celebrate creativity, remember what we love to make, and give ourselves permission to create without worrying about whether it's perfect.",What is your absolute favourite thing to make or create? Drawing? Building? Writing? Dancing? Making music? Something else? What does it feel like when you're deep in making something you love?,"Imagine if every time you drew a picture, someone graded it. Or every time you made up a song, someone told you it wasn't good enough. You'd probably stop trying! Today we remember that making things is for the joy of making — not for getting it right.","The most creative people in history — inventors, artists, storytellers — all had one thing in common: they were willing to make things that weren't perfect. In fact, most of their greatest creations came out of lots of imperfect attempts. Today we celebrate the imperfect making.",1. Making things is one of the most important things humans do — it's how we express who we are and what matters to us. | 2. There is no right or wrong way to be creative — your way is always the right way. | 3. The best creative experiences happen when we make for the joy of it — not to impress anyone or get it perfect. | 4. Everyone is creative. Creativity looks different for different people — and all of it is valuable.,"THE MAKING PARTY: Facilitate a free-choice creative session — provide a range of materials (drawing supplies, building blocks, collage materials, writing paper, musical instruments if available). For 15 minutes, everyone makes something — anything they want, however they want. No instructions. No right answer. No evaluation. Then: share what you made — not for judgment but for celebration. Each share receives: 'Tell us about your making — what did you enjoy about it?' NOT 'That's so good!' (evaluation). Just genuine curiosity.","Close your eyes. Think about being deep in making something you love — completely absorbed, time flying, just you and the making. Remember that feeling. That feeling is available to you any time you pick up the thing that helps you make. It belongs to you. Nobody can take it.","Make something today just for the joy of it — not to show anyone, not to get it right. Just because making things is wonderful.",Show a grown-up something you've made recently. Tell them about what you ENJOYED about making it — not whether you think it's good.,Bring something you've made this week to share — just to celebrate the making!,I am creative. Making things is part of how I am most alive. I make for joy.,https://www.youtube.com/watch?v=0ZcfX2862XE,https://www.youtube.com/watch?v=1iL3JOFqMQQ,The Dot read-aloud by Peter H. Reynolds — a celebration of creative courage and the joy of making something just because. Runtime ~8 min. Companion book: 'Beautiful Oops' by Barney Saltzberg — a joyful celebration of imperfect making.,"FADE IN: A blank table covered in paper and art supplies. Colours everywhere — markers, crayons, paint, glitter. VOICE (warm, excited): 'No rules. No right answer. Just making — for the joy of it.' CUT TO: A child's hands drawing a bright red swirl — then pausing, adding a line, smiling. VOICE: 'This is what it looks like when you let yourself create without worrying if it's good enough. It doesn't have to be perfect. It just has to be yours.' CUT TO: Many hands making different things — a wonky clay cup, a painting of a purple dog, a collage of magazine clippings. Each child absorbed in their own creation. FADE TO: The finished artwork — imperfect, personal, beautiful. VOICE: 'That feeling right there? That's the joy of making. Take it with you. Make more things.' FADE TO TITLE: Mindcast LIVE — The Joy of Making.",The 15-minute making party is the centrepiece — protect that time. Let children experiment with different mediums. Display finished work on a 'gallery wall' and celebrate each piece individually. No critique — only noticing what you like about each creation.
36,3,Rebuild,Purpose — What You're Here For,Child,Your Special Puzzle Piece,"Every person has gifts — things they're naturally good at, things they love, and ways they can help others. When we use our gifts to help and contribute, that's called purpose. Today we start discovering what our gifts are and how we can share them.",What is something you love doing AND you're good at AND it helps other people? It might be something you haven't thought of as a gift before.,"Imagine the world is like a giant puzzle. Every single person is a piece. And the puzzle only works when every piece is in the right place, doing what it does best. Today we figure out what makes you the perfect YOU-shaped piece.","In old stories about heroes and great people, they always had something special — a gift that was uniquely theirs. Not perfect. Not magical. Just genuinely theirs. And they used it to make things better. Today we find yours.","1. Everyone has gifts — things they love, things they're good at, and ways they can help others. | 2. Purpose means using your gifts to do something that matters — not just for yourself, but for others too. | 3. You don't need to have everything figured out. You just need to start noticing what feels most like you AND most helpful. | 4. Even small contributions matter enormously — being kind, helping a friend, making someone laugh, listening when someone is sad. These are purposes too.","GIFT EXPLORER: Three prompts for each child to write or draw: 1. 'Something I love and I'm good at is...' 2. 'Something I do that seems to help or matter to others is...' 3. 'If I could change one thing about the world, I would...' Then: where do these overlap? That's the beginning of your purpose. Share: one gift they have that they want to use more.","Close your eyes. Think of a time when you did something that really helped someone — even something small. How did it feel? That feeling — of genuinely contributing something that mattered — that's the feeling of purpose. It's available to you every day, in small ways.",Draw your 'YOU-shaped puzzle piece' — write your gifts inside it and draw how it connects to the people and world around you.,Use one of your gifts to help someone today. Notice how it feels.,Tell a grown-up about one of your gifts. Ask them what gift they think you have that you might not have noticed yet.,Bring back your puzzle piece drawing — and a story about using one of your gifts this week!,I have gifts that are uniquely mine. Using them to help others is my purpose.,https://www.youtube.com/watch?v=9_1Rt1R4xbM,YouTube: 'Wonder' read-aloud clips or search 'purpose for kids animated gifts' for short accessible content on contribution and gifts. Runtime ~5–8 min. Book: 'The Jelly That Wouldn't Wiggle' by Alexandra Parry — about each person's unique contribution to something bigger.,"FADE IN: A giant puzzle — most pieces in place, but missing some. VOICE: 'Every puzzle needs every piece.' CUT TO: A child holding their puzzle piece — unique shape, something special written on it. VOICE: 'Your piece is the exact right shape for the space only you can fill.' CUT TO: The child places their piece. The picture becomes more complete. VOICE: 'That is purpose. Not a grand plan. Just your piece, in your place, doing what only you can do.' FADE TO TITLE: Mindcast LIVE.","Keep purpose concrete and immediately actionable for this age — not about the future, but about what they can contribute today. Celebrate every 'gift' that is shared generously and specifically. The puzzle metaphor reinforces both uniqueness AND interdependence — both are important values to embed."
37,3,Rebuild,"Money, Abundance and Your Relationship With Resources",Child,What We Have and What We Share,"Money is something that grown-ups think about a lot — and most children hear messages about it without fully understanding them. Today we think about what we've been taught about money and resources, and what a healthy, kind relationship with what we have looks like.",What is something you have — that doesn't cost any money — that you're really grateful for? And what is something you own that you love sharing with others?,"Think about everything you have — your toys, your home, your food, your family, your friends. Some things cost money. Some things are free. Today we think about what really matters, how to be grateful for what we have, and how to be generous with what we can share.","In old stories, the happiest and wisest characters were never the ones who had the most things. They were the ones who valued what they had, shared generously, and knew the difference between what they needed and what they just wanted. Today we learn that wisdom.","1. Money is a tool — it helps us get things we need and some things we want. But it's not the most important thing in life. | 2. Gratitude — being thankful for what we have — makes us feel richer, even if we don't have very much. | 3. Generosity — sharing what we have — actually makes us feel happier and more connected. | 4. Learning the difference between things we NEED and things we WANT is one of the most important money skills there is.","NEED vs. WANT vs. SHARE: Facilitate a sorting activity with picture cards or drawn items: sort into NEED (food, shelter, warmth, healthcare), WANT (toys, treats, gadgets), and COULD SHARE (time, kindness, skills, some possessions). Discuss: 'Is it possible to share something that doesn't cost money? What can you share that isn't a thing?' Then: each child identifies one thing they're grateful for, and one non-money thing they can share this week. Share: their chosen gratitude and their generous act.","Close your eyes. Think about everything you have — your home, your family, your friends, your health, your skills, your imagination. Even if it's hard sometimes, there is a lot there. Take a moment just to notice it and feel grateful. Now: is there something in that list you could share? Something that would cost you nothing but would mean a lot to someone else?",Draw or write about three things you have that money can't buy — and three things you can share with others.,Do one generous act this week — something you give that doesn't cost money.,Ask a grown-up: 'What's something you have that you're really grateful for that money can't buy?' Share your answer with them too.,Bring back: what generous act did you do this week? How did it feel?,I am grateful for what I have. And I am generous with what I can share.,https://www.youtube.com/watch?v=rrkrvAUbU9Y,YouTube: Search 'generosity for kids animated' or 'gratitude and giving children YouTube' for short accessible content. Runtime ~5 min. Book: 'Those Shoes' by Maribeth Boelts — a beautiful story about needs vs. wants and the joy of generosity.,FADE IN: A child's bedroom full of toys — but looking somehow empty. VOICE: 'All this — and something still feels like it's missing.' CUT TO: Same child sharing something with a friend. Simple. Not expensive. VOICE: 'There it is.' CUT TO: Both children laughing. Connected. VOICE: 'Gratitude and generosity — they're not about what you have. They're about how you relate to what you have.' FADE TO TITLE: Mindcast LIVE.,"Be sensitive to varying financial circumstances among children — never compare or highlight differences. Focus on non-material forms of abundance (time, kindness, skills, imagination) which are genuinely available to all. The need/want/share activity is one of the most practically valuable financial literacy exercises for this age."
